"id","displayName","phoneNumber","email","expertises","uid"
"0ywgnefHBPPRQP9TnIXLuToogz53","Daniel Silva Rodriguez","+59162156382","daniel.silva27@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"1A79IcPhhxRTWDxasRUpcAUnwwq1","Edwin Nuñez Mamani","+59177687989","nunezmamanie@gmail.com","[{""name"":""Electricista"",""id"":""4nEaRhSHpcxYcbryVrpK""},{""name"":""Pintor"",""id"":""xcRyLmqJOHAjUStWbSOt""},{""name"":""Plomería"",""id"":""HW9xvBPRO5A98hOzG4Qr""}]",
"1BBTnrYTDVIVIIGoWDrV8jNQP7UQ","Daniel Gutierrez Martinez","+59177589844","daniel.gutierrez43@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"1BQybcneyFKki8aqT9cqg9Ajjsiy","Daniela Suarez Rivera","+59171053644","daniela.suarez92@gmail.com","[{""name"":""Electricista"",""id"":""4nEaRhSHpcxYcbryVrpK""}]",
"1PRlE3CFxo0y637lDxAGLwVFbVAF","Ana Ruiz Flores","+59177196980","ana.ruiz22@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"1l5JAJyVujVGSXX7SnE9TFHCRkY2","Eliseo choque Garabito ","+59172698555","eliseochoque841@gmail.com","[{""name"":""Belleza y estética"",""id"":""qWPSMa5r4Yfwl3Q73Rvn""}]",
"1qNPGOXHCePP7sc9pqjPEKCgOLB3","David Huanca","","davidhuanca603@gmail.com","[{""name"":""Area de salud"",""id"":""3nikpxFQAWAQLOGk9lYG""}]",
"1w1JriOa6BwuB0R9bzWzfdP0IYrJ","Daniela Suarez Garcia","+59170537894","daniela.suarez51@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"1wq1L6Y1K6rjVrgva30MZDaPi2H9","Daniel Gutierrez Silva","+59162579017","daniel.gutierrez57@gmail.com","[{""name"":""Gimnasio y nutrición"",""id"":""i7cJInymptrDzJvmeoDL""}]",
"1wzO2kQfjvQdeqgTl4y6cHsbYGy2","Moises Hurtado Moncada","+59165869305","moiseshurtado1211@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"20jLvtU1Poab27kGzvVkHi8MFziM","Laura Diaz Gutierrez","+59170649369","laura.diaz76@gmail.com","[{""name"":""Electricista"",""id"":""4nEaRhSHpcxYcbryVrpK""}]",
"24tCtGUzogTygUzp1qJZEHhMirn2","Jose Jail Ibarra Pinto ","+59160812183","9n62zrtg62@privaterelay.appleid.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"2AZU7YkKdXjp8CoG6Br9XzkkTDCR","Carlos Cruz Torres","+59176580288","carlos.cruz60@gmail.com","[{""name"":""Gimnasio y nutrición"",""id"":""i7cJInymptrDzJvmeoDL""}]",
"2BdSsM5QwJnKgA9CrVyF7LpTeHu6","Luis Alberto Mercado Justiniano","+59175694821","luis.mercadoaj@gmail.com","[{""name"":""Gimnasio y nutrición"",""id"":""i7cJInymptrDzJvmeoDL""}]",
"2CMSdL4vjBKOCFoaY98IRCMeZPuZ","Luis Gomez Suarez","+59175077872","luis.gomez62@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"2CTcc3OpzxbWP05qATGWlOPg10DS","Jorge Rodriguez Perez","+59168279212","jorge.rodriguez21@gmail.com","[{""name"":""Plomería"",""id"":""HW9xvBPRO5A98hOzG4Qr""}]",
"2CnCKjBHFNfjzJ8G37OMTIj5mAR2","Miguel Leyton","+59161506509","miguelarturo994@gmail.com","[{""name"":""Educación/profesor(a)"",""id"":""geAkBpcZyFYXNWGnhty1""}]",
"2LJOTwGT6wP2uoyYoAn6Xs4jN4td","Sofia Rodriguez Ramos","+59171735671","sofia.rodriguez24@gmail.com","[{""name"":""Aire acondicionado y calefón"",""id"":""5OF9nRYFsjzsymh1hZZN""}]",
"2fellXJZJ8V0u2KInOmJgcKmsPcq","David Sanchez Castro","+59175431511","david.sanchez53@gmail.com","[{""name"":""Plomería"",""id"":""HW9xvBPRO5A98hOzG4Qr""}]",
"2g6mfbLv1FWGbIoAdOHcIAPKOM32","Jhoselin Rosemary Escobar Berrios ","+59175422281","escobarberriosjhoselin@gmail.com","[{""name"":""Area de salud"",""id"":""3nikpxFQAWAQLOGk9lYG""},{""name"":""Belleza y estética"",""id"":""qWPSMa5r4Yfwl3Q73Rvn""}]",
"2iscLSrVt8feuUOGgHPtMOXm7Pv3","Paula Martinez Ortiz","+59160678943","paula.martinez43@gmail.com","[{""name"":""Cerrajería"",""id"":""0dPeu6TzKtfS5kddE8i0""}]",
"2lJIvwpx7cizUUNKIgPxmA8qWS7O","Elena Chavez Suarez","+59172980321","elena.chavez29@gmail.com","[{""name"":""Gimnasio y nutrición"",""id"":""i7cJInymptrDzJvmeoDL""}]",
"2wcsDTksJ7xAYOMBOEWR1VNuwjV0","Juan Ramos Martinez","+59161121817","juan.ramos57@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"3FebfVK3enuueNt4Pb6hbLzSIbe6","Elena Chavez Rodriguez","+59163936881","elena.chavez89@gmail.com","[{""name"":""Jardinería"",""id"":""nv1yfLUhhRJ0ow8ooY1M""}]",
"3MBcHlzRucpZYmR9ZiNCHoWUI3UZ","Fernanda Diaz Flores","+59176845997","fernanda.diaz21@gmail.com","[{""name"":""Plomería"",""id"":""HW9xvBPRO5A98hOzG4Qr""}]",
"3NLJUa1QmkbwyVE5yCdurjVF0Bg1","Mario Andres Pinto Choque","+59174922618","pintochoquemarioandres12@gmail.com","[{""name"":""Cerrajería"",""id"":""0dPeu6TzKtfS5kddE8i0""}]",
"3PzVNa9XfWjTbL4KuGmS6HeRyQd1","Ricardo Sebastián Montero Gutiérrez","+59175512897","ricardo.monterosg@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"3bJVoM2vzJnjFSah8HqN3Ogs2O9V","Daniela Gutierrez Rodriguez","+59166008823","daniela.gutierrez34@gmail.com","[{""name"":""Jardinería"",""id"":""nv1yfLUhhRJ0ow8ooY1M""}]",
"3cKXCWZbzelrZ749NBX2Aq4PcR9b","Maria Rivera Chavez","+59163879284","maria.rivera44@gmail.com","[{""name"":""Cerrajería"",""id"":""0dPeu6TzKtfS5kddE8i0""}]",
"3cLIHWadHSMTSZbwqsmkqws5eyV2","Silene Vaca Berthalet ","+59176064030","silenevacab0559@gmail.com","[{""name"":""Eventos"",""id"":""xeirGYDAqA2Q5o2dSLbV""}]",
"3d7RNh7kWaLDhg8N8BfAxhjTqWIU","Jorge Perez Reyes","+59169953935","jorge.perez68@gmail.com","[{""name"":""Gimnasio y nutrición"",""id"":""i7cJInymptrDzJvmeoDL""}]",
"3hCHRkkBmbZL0KWb4NbZmdUUv0dI","Patricia Lopez Castro","+59160833561","patricia.lopez50@gmail.com","[{""name"":""Jardinería"",""id"":""nv1yfLUhhRJ0ow8ooY1M""}]",
"3hsh5mie9qPWN1DNQzWmpJCJoPL2","Julio Socio","+59176360597","juliocesarsaldanacoimbra74@gmail.com","[{""name"":""Gimnasio y nutrición"",""id"":""i7cJInymptrDzJvmeoDL""},{""id"":""8Bdv0Ir5sAErddd8jW94"",""name"":""Cocina y catering""},{""name"":""Electricista"",""id"":""4nEaRhSHpcxYcbryVrpK""}]",
"3mUD5kKkZfOnpKpHbeUme6HpN5l2","Calixto Pacosillo hilari","+59173979037","pacosillohilaricalixto@gmail.com","[{""name"":""Electricista"",""id"":""4nEaRhSHpcxYcbryVrpK""}]",
"3oHGi0Zf0NgaN0wIOZffryguGdE3","Zak Rafael Heredia Calzadilla","+59172445481","herediacalzadillarafael@gmail.com","[{""name"":""Técnicos de electrodomésticos"",""id"":""9GtGhWlmirDeVJGPRoqt""}]",
"3tutG3qBmhSPt7RZu4i7wC4lO6X2","Hernando Zanabria Lobo","+59165874147","yinrahg@gmail.com","[{""name"":""Aire acondicionado y calefón"",""id"":""5OF9nRYFsjzsymh1hZZN""},{""name"":""Técnicos electrónicos"",""id"":""ofgvEBCreL64b4HrCTLD""}]",
"45YoqLoaFKYtudbsv77TDK4rfHC2","Marco Peredo ","+59177082994","ingeniero.mpa12@gmail.com","[{""name"":""Técnicos de computadoras y dispositivos electrónicos"",""id"":""ofgvEBCreL64b4HrCTLD""}]",
"4AYTLa4Wwcb4g1RP0NDxnFBUd4I2","Javier Gutierrez Morales","+59177929667","javier.gutierrez20@gmail.com","[{""name"":""Plomería"",""id"":""HW9xvBPRO5A98hOzG4Qr""}]",
"4PE1PVJTuCveN7TqpPxPQP8UfGBA","Elena Diaz Castro","+59173021497","elena.diaz18@gmail.com","[{""name"":""Plomería"",""id"":""HW9xvBPRO5A98hOzG4Qr""}]",
"4QwZMn7ErCtPjVd2HxSaB9YuGkL5","Valeria Sofía Aguilera Pinto","+59176378092","valeria.aguilerap@gmail.com","[{""name"":""Jardinería"",""id"":""nv1yfLUhhRJ0ow8ooY1M""}]",
"4XrBoyhuh5gIQMl4eHbOMMRxsuSX","Fernanda Diaz Martinez","+59162922109","fernanda.diaz37@gmail.com","[{""name"":""Electricista"",""id"":""4nEaRhSHpcxYcbryVrpK""}]",
"4aWq8esuCcgEjwaExvAe9QNo5b1I","Jose Flores Ramirez","+59163875365","jose.flores52@gmail.com","[{""name"":""Limpieza"",""id"":""GupAPQj7pRHS9HtEsoQE""}]",
"4bUp3SimbL2bgkYVq1P2","Fabio Andres Torrico campos ","+59163415503","torricofabio445@gmail.com","[""Aire acondicionado y calefón"",""Técnicos de electrodomesticos""]",
"4by7wM4yZfHGMewyyVoHpe5h719d","Francisco Suarez Mendoza","+59170325236","francisco.suarez16@gmail.com","[{""name"":""Aire acondicionado y calefón"",""id"":""5OF9nRYFsjzsymh1hZZN""}]",
"4cJv9vaXifEgluBHzB1vp8uDwfb1","Javier Romero Suarez","+59173314771","javier.romero67@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"4dTCTyg54BOWwsPkeC7Fbm63YB23","Filber Flores Cruz","+59163462669","filberflores6@gmail.com","[{""name"":""Belleza y estética"",""id"":""qWPSMa5r4Yfwl3Q73Rvn""}]",
"4eRhkpSahBRTpwaddInmuiAp0Yl2","Abelardo Uría Trino","+59162164662","abeluriatrino854@gmail.com","[{""name"":""Técnicos de computadoras y dispositivos electrónicos"",""id"":""ofgvEBCreL64b4HrCTLD""}]",
"4o197JFP2xIHd4Wnq17PpspnL388","David Chavez Vargas","+59178241188","david.chavez20@gmail.com","[{""name"":""Gimnasio y nutrición"",""id"":""i7cJInymptrDzJvmeoDL""}]",
"4tHqfdh2tlX75jJy09l4AYHOvsE3","Martha Severiche Rojas","+59179849134","marthaseveriche50@gmail.com","[{""name"":""Modista/costurera"",""id"":""oerjLKDkJ42FIfo6ilzq""}]",
"4vMXh4Lnl4flUVXO1jBIshZTBRBG","Juan Chavez Ruiz","+59172701490","juan.chavez29@gmail.com","[{""name"":""Aire acondicionado y calefón"",""id"":""5OF9nRYFsjzsymh1hZZN""}]",
"52ihQUTbHERqqJ9dAygqKRL1v8Z2","Elmer Larico Mamani","+59178159339","elmar.az1995@gmail.com","[{""name"":""Cerrajería"",""id"":""0dPeu6TzKtfS5kddE8i0""},{""name"":""Jardinería"",""id"":""nv1yfLUhhRJ0ow8ooY1M""}]",
"5EZNLcJmKYOqVrNEYCMeDaoOjiVP","Sofia Ramirez Ramos","+59163866986","sofia.ramirez69@gmail.com","[{""name"":""Gimnasio y nutrición"",""id"":""i7cJInymptrDzJvmeoDL""}]",
"5KMa5H70MGmAL2sFVUyQ8QEVvUMy","Jose Martinez Romero","+59174447922","jose.martinez22@gmail.com","[{""name"":""Aire acondicionado y calefón"",""id"":""5OF9nRYFsjzsymh1hZZN""}]",
"5LuGhR8SaQkYmN2VtBeX3DiPwJc7","Gabriela Alejandra Cuéllar Roca","+59176392054","gabriela.cuellarar@gmail.com","[{""name"":""Aire acondicionado y calefón"",""id"":""5OF9nRYFsjzsymh1hZZN""}]",
"5LxrN5KS8MAKx3lhqFOcRvAfpdrz","Mariana Lopez Suarez","+59173531737","mariana.lopez68@gmail.com","[{""name"":""Electricista"",""id"":""4nEaRhSHpcxYcbryVrpK""}]",
"5YYGMvQtMYcDXQFHTJHYia38JMJ2","cristian Sosa Vaca","+59176098538","sosa.2ca@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"5aCdGx2oBObEpyxmkST9x9NQPvf2","Yenny Aguilera Marquez ","+59172669868","marquezyenny196@gmail.com","[{""name"":""Cocina y catering"",""id"":""8Bdv0Ir5sAErddd8jW94""},{""name"":""Modista/costurera"",""id"":""oerjLKDkJ42FIfo6ilzq""}]",
"5cCXPKwJ0nWrd99WIpTrMMxnjm32","Luis Pino",,"pino.luis709@gmail.com",,
"5iIIt6yQMQfzxI4REpNBxMHIeQPE","Valeria Hernandez Sanchez","+59175584370","valeria.hernandez10@gmail.com","[{""name"":""Electricista"",""id"":""4nEaRhSHpcxYcbryVrpK""}]",
"5k3d4TWLqnKpC9axozjq","kelsy Ríos Mendoza","+59177061028","kelsyriosmendoza1399@gmail.com","[""Belleza y estética""]",
"5ufwTRv525WgLdOkhHvqYT1Cc5V2","Sebastian Adalid ","+59169210182","saherbas-es@udabol.edu.bo","[{""name"":""Area de salud"",""id"":""3nikpxFQAWAQLOGk9lYG""}]",
"5vh397HhISYP3AFAxmEtt1Zs9a2A","Patricia Gonzalez Cruz","+59161100262","patricia.gonzalez14@gmail.com","[{""name"":""Limpieza"",""id"":""GupAPQj7pRHS9HtEsoQE""}]",
"63n2MbuAtnwoBrMGz1us0IUOANZN","Luis Gonzalez Sanchez","+59176217316","luis.gonzalez69@gmail.com","[{""name"":""Jardinería"",""id"":""nv1yfLUhhRJ0ow8ooY1M""}]",
"653CNNLw4NBAA7boreT4ojzSeUuh","Patricia Diaz Reyes","+59167691307","patricia.diaz77@gmail.com","[{""name"":""Plomería"",""id"":""HW9xvBPRO5A98hOzG4Qr""}]",
"66SxWv9l6JicT9NrPbkq1G5yPBWu","Mariana Suarez Rodriguez","+59177823499","mariana.suarez28@gmail.com","[{""name"":""Electricista"",""id"":""4nEaRhSHpcxYcbryVrpK""}]",
"6D7fNE2wYggChNvmYTcUQ4txtna2","Mirian Duran","+59172694732","mirianrejasduran@gmail.com","[{""name"":""Modista/costurera"",""id"":""oerjLKDkJ42FIfo6ilzq""}]",
"6Np5urB1uiGmfqmr5i6N16oKMM6E","Fernando Lopez Mendoza","+59165942747","fernando.lopez97@gmail.com","[{""name"":""Electricista"",""id"":""4nEaRhSHpcxYcbryVrpK""}]",
"6O79tICpgfNxMWB59Q8KNpXvCnCd","Daniel Ortiz Flores","+59165302805","daniel.ortiz93@gmail.com","[{""name"":""Cerrajería"",""id"":""0dPeu6TzKtfS5kddE8i0""}]",
"6RyJcT3XeZpMvQ8WbSnA2FkHuDl4","Ana Lucía Barba Céspedes","+59176350841","ana.barbace@gmail.com","[{""name"":""Cerrajería"",""id"":""0dPeu6TzKtfS5kddE8i0""}]",
"6RzDiCYq6x2mm3Di82hsLsDsV83x","Carlos Rivera Rodriguez","+59179371861","carlos.rivera77@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"6Y4xIUEfemN1lwN7EwFKPnFsNsJa","Paula Castillo Ortiz","+59173799276","paula.castillo43@gmail.com","[{""name"":""Electricista"",""id"":""4nEaRhSHpcxYcbryVrpK""}]",
"6ZdIwB3ThbgAwDItwChSZc0HT3Y2","José Luis Gonzales Terrazas","+59172621524","gonzalesjoseluis383@gmail.com","[{""name"":""Técnicos de electrodomésticos"",""id"":""9GtGhWlmirDeVJGPRoqt""}]",
"6bGjdo9HhRjGYbLXnKHTBtJyt449","Manuel Martinez Martinez","+59163517836","manuel.martinez96@gmail.com","[{""name"":""Electricista"",""id"":""4nEaRhSHpcxYcbryVrpK""}]",
"6i86HJgQzlfxF2raXweGvtupAqLh","Andrea Ramirez Cruz","+59176937618","andrea.ramirez98@gmail.com","[{""name"":""Jardinería"",""id"":""nv1yfLUhhRJ0ow8ooY1M""}]",
"718hdoVIeEh4jM1h50tQg69Fg2s1","Daviñho Núñez Velázquez ","+59165879032","maryluzponce709@gmail.com","[{""name"":""Belleza y estética"",""id"":""qWPSMa5r4Yfwl3Q73Rvn""}]",
"76R6isjV7HwDNoImZruM0KejwCNR","Ricardo Chavez Perez","+59167302476","ricardo.chavez65@gmail.com","[{""name"":""Jardinería"",""id"":""nv1yfLUhhRJ0ow8ooY1M""}]",
"79uH69TIDQfbQrcjXJnhydIBnx33","ana patricia paniagua gallardo ","+59175772454","anapatriciapaniagua92@gmail.com","[{""name"":""Limpieza"",""id"":""GupAPQj7pRHS9HtEsoQE""}]",
"7COdwp23VXw5o7igb8kRqnoLBrF6","Francisco Romero Sanchez","+59177639898","francisco.romero45@gmail.com","[{""name"":""Electricista"",""id"":""4nEaRhSHpcxYcbryVrpK""}]",
"7GSa90ZTFrRlIPX2OSJ3cexdaSKF","Carlos Ruiz Rivera","+59174838061","carlos.ruiz88@gmail.com","[{""name"":""Electricista"",""id"":""4nEaRhSHpcxYcbryVrpK""}]",
"7Jss78EN5GyTuj2eC9l5yXWZ5icc","Roberto Diaz Ramos","+59164526507","roberto.diaz37@gmail.com","[{""name"":""Plomería"",""id"":""HW9xvBPRO5A98hOzG4Qr""}]",
"7KsDPu4Q9xYtZrA1LmVeB3NFoHc2","María José Rojas Suárez","+59176348215","maria.rojasfs@gmail.com","[{""name"":""Limpieza"",""id"":""GupAPQj7pRHS9HtEsoQE""}]",
"7NBVLkaw8NhcJkXIS1jvCDK2YDR2","Eulalia Siñani Machaca","+59179950570","eulaliasinanim@gmail.com","[{""id"":""GupAPQj7pRHS9HtEsoQE"",""name"":""Limpieza""}]",
"7PXLUp92VOYDVv0IVyy5KVbADe03","Joel Carlos coloque mamani","+59178495785","oveja78495785@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"7QV1F8pQ7yeKd714ZJga4dprh2k2","Ivet lucero Martinez oruño","+59176630673","lm7154173@gmail.com","[{""name"":""Belleza y estética"",""id"":""qWPSMa5r4Yfwl3Q73Rvn""}]",
"7R7jgvCb1cTyxsFviRrzEUAGWRMj","Daniela Chavez Romero","+59177404509","daniela.chavez51@gmail.com","[{""name"":""Jardinería"",""id"":""nv1yfLUhhRJ0ow8ooY1M""}]",
"7VAMe4voe5TDTP0l2mp7p1apy6y1","PATRICIA ROXANA BRAÑEZ COSSIO DE VARGAS","+59176913485","patriciabranez230285@gmail.com","[{""name"":""Modista/costurera"",""id"":""oerjLKDkJ42FIfo6ilzq""}]",
"7bvwMW49bVYOOY6JbfBV7XPyVpn2","Nuage Laboratoire",,"cjmpr3zmnjohvs4a5b7nwf-lvl-00@cloudtestlabaccounts.com",,
"7mMyyqLalHUhkg6XCcYd28XvJbTe","Elena Gutierrez Rivera","+59176669831","elena.gutierrez56@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"7vD82PQ4BUta8zLpWucNiFFJkPUg","Patricia Rivera Flores","+59168768508","patricia.rivera25@gmail.com","[{""name"":""Aire acondicionado y calefón"",""id"":""5OF9nRYFsjzsymh1hZZN""}]",
"7wOsHOJf4gePN5LVuiByecIQL6k1","Ruddy Carlos Yáñez Flores","+59176649651","rudyyanezflores@gmail.com","[{""name"":""Carpintería"",""id"":""xK8X0hElVtTooxjpi3Lt""},{""name"":""Pintor"",""id"":""xcRyLmqJOHAjUStWbSOt""}]",
"7x5qbvtWxmbHYCNQhvA7fLOKLwj1","Juan Carlos López Vaca","+59177368850","juancarloslopezvaca17@gmail.com","[{""name"":""Jardinería"",""id"":""nv1yfLUhhRJ0ow8ooY1M""}]",
"828xRIMyfCq3Pwgfk5ytlz37ag1e","Gabriela Rivera Perez","+59165200457","gabriela.rivera83@gmail.com","[{""name"":""Limpieza"",""id"":""GupAPQj7pRHS9HtEsoQE""}]",
"84IlkaOP70d480dwWHrqwjyHchi1","Henry Faldin Franco ","+59175552562","faldinfrancoh@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"85dYPwqVlia1muAntjau9ERNjVw1","cesilio cutamujai chiqueno","+59171603255","ceciliocutamujai50@gmail.com","[]",
"88awPjO2uuHl7s41TwjFjs54V09e","Carlos Ramirez Torres","+59175425917","carlos.ramirez82@gmail.com","[{""name"":""Limpieza"",""id"":""GupAPQj7pRHS9HtEsoQE""}]",
"89av58BsterGoFBxXyuXS2E5ZION","Juan Ortiz Gomez","+59176261797","juan.ortiz83@gmail.com","[{""name"":""Aire acondicionado y calefón"",""id"":""5OF9nRYFsjzsymh1hZZN""}]",
"8EFTXnRMRAiqGLWTfblZ3yOM4VY4","Elena Ramos Rivera","+59169378310","elena.ramos92@gmail.com","[{""name"":""Plomería"",""id"":""HW9xvBPRO5A98hOzG4Qr""}]",
"8FrTxC1LoBpJqS7VzNdK4MiHaUe9","Jorge Luis Torrico Melgar","+59175630281","jorge.torricojm@gmail.com","[{""name"":""Plomería"",""id"":""HW9xvBPRO5A98hOzG4Qr""}]",
"8IYSBNyDH5Is35brZlO3t8cEJrYP","Francisco Gomez Suarez","+59166429019","francisco.gomez95@gmail.com","[{""name"":""Gimnasio y nutrición"",""id"":""i7cJInymptrDzJvmeoDL""}]",
"8Ifgu6nprzrwDnPdSPZseTuk6PBe","Jorge Sanchez Mendoza","+59165899686","jorge.sanchez32@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"8MO1r0aI13ORFjjzhSEOG3c71W4N","Valeria Chavez Ortiz","+59160616430","valeria.chavez42@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"8PDon9rxGskp3IQ7s2IHxfZ2PgND","Paula Lopez Garcia","+59161458723","paula.lopez90@gmail.com","[{""name"":""Plomería"",""id"":""HW9xvBPRO5A98hOzG4Qr""}]",
"8QAunPyJtqRbvf6KLy5HRJYtEhC2","elena vargas coronado ","+59174603849","elenitacoronado51@gmail.com","[{""name"":""Belleza y estética"",""id"":""qWPSMa5r4Yfwl3Q73Rvn""},{""name"":""Modista/costurera"",""id"":""oerjLKDkJ42FIfo6ilzq""}]",
"8TOz1XyODfeOdUgEkwjCFPsAERBH","Jose Jimenez Sanchez","+59166872202","jose.jimenez38@gmail.com","[{""name"":""Cerrajería"",""id"":""0dPeu6TzKtfS5kddE8i0""}]",
"8UFdWyySj5O2HMNIANgBViUFBkY2","Cristian Paniagua","+59176341624","crispaniagua288@gmail.com","[{""name"":""Cerrajería"",""id"":""0dPeu6TzKtfS5kddE8i0""}]",
"8WeZk3cjVuQRcib4rmmfh4M6NL62","Simon Garcia Cruz","+59178091738","simongarciacruz33@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"8cRyGfH7CZVADMzg247x8Fk7ZRQe","David Chavez Torres","+59168370533","david.chavez42@gmail.com","[{""name"":""Aire acondicionado y calefón"",""id"":""5OF9nRYFsjzsymh1hZZN""}]",
"8gKqQgKGaMV4YgdWF2sIe46ObyDQ","Manuel Silva Castillo","+59178278034","manuel.silva30@gmail.com","[{""name"":""Cerrajería"",""id"":""0dPeu6TzKtfS5kddE8i0""}]",
"8o9yMHSCW3Mz1QdbArVMg05u1TBq","Sofia Perez Castillo","+59160779053","sofia.perez33@gmail.com","[{""name"":""Aire acondicionado y calefón"",""id"":""5OF9nRYFsjzsymh1hZZN""}]",
"8sZwhxOngPdvka5iHmaLhOjD1dWa","Patricia Flores Diaz","+59165586900","patricia.flores29@gmail.com","[{""name"":""Plomería"",""id"":""HW9xvBPRO5A98hOzG4Qr""}]",
"8t6jIE78kwg8lIjVGDpWuIqFfSBW","Valeria Rivera Reyes","+59161188686","valeria.rivera47@gmail.com","[{""name"":""Jardinería"",""id"":""nv1yfLUhhRJ0ow8ooY1M""}]",
"8txv67SVo1UuyL37AWm9ea83KgA3","José Nimio Amurrio Real","+59165909354","amurrioflores@gmail.com","[{""name"":""Soldador"",""id"":""iEV4j5vJur7V6ZUBmSHE""}]",
